,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
220,,,28,40.0,7.1,,0.45,0.56,109.0,36.0,85.0,24.8,1.98
221,,,28,40.0,9.1,,0.45,0.56,111.0,36.0,86.0,28.1,2.23
222,,,28,40.0,11.2,,0.45,0.56,113.0,36.0,83.0,29.8,2.41
223,,,28,40.0,13.3,,0.45,0.56,116.0,36.0,85.0,31.5,2.47
224,,,28,40.0,15.5,,0.45,0.56,119.0,36.0,90.0,34.0,2.65
225,,,28,40.0,17.8,,0.45,0.56,122.0,36.0,88.0,33.2,2.68
226,,,28,40.0,20.0,,0.45,0.56,124.0,36.0,87.0,32.8,2.54
227,,,28,40.0,22.1,,0.45,0.56,126.0,36.0,85.0,31.6,2.37
228,,,28,40.0,7.1,,0.45,0.56,129.0,42.0,171.0,24.1,2.01
229,,,28,40.0,9.1,,0.45,0.56,131.0,42.0,177.0,27.5,2.36
230,,,28,40.0,11.2,,0.45,0.56,133.0,42.0,182.0,29.0,2.37
231,,,28,40.0,13.3,,0.45,0.56,136.0,42.0,176.0,30.9,2.41
232,,,28,40.0,15.5,,0.45,0.56,139.0,42.0,175.0,33.7,2.47
233,,,28,40.0,17.8,,0.45,0.56,142.0,42.0,179.0,32.4,2.56
234,,,28,40.0,20.0,,0.45,0.56,144.0,42.0,180.0,31.2,2.52
235,,,28,40.0,22.1,,0.45,0.56,146.0,42.0,173.0,30.9,2.41
236,,,7,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,24.6,1.95
237,,,7,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,25.3,2.25
238,,,7,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,25.0,2.09
239,,,7,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,24.8,1.97
240,,,7,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,26.1,2.29
241,,,28,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,40.1,3.13
242,,,28,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,41.8,2.88
243,,,28,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,41.4,3.03
244,,,28,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,41.3,3.21
245,,,28,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,41.1,3.07
246,,,90,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,55.1,3.82
247,,,90,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,56.1,3.9
248,,,90,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,51.0,3.79
249,,,90,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,51.5,3.77
250,,,90,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,53.2,4.12
251,,,180,40.0,6.0,,0.36,0.48,126.0,35.0,50.0,54.8,3.97
252,,,180,40.0,9.0,,0.36,0.48,128.0,34.0,45.0,61.6,4.45
253,,,180,40.0,12.0,,0.36,0.48,130.0,34.0,60.0,54.6,4.51
254,,,180,40.0,15.0,,0.36,0.48,131.0,33.0,55.0,54.8,4.02
255,,,180,40.0,18.0,,0.36,0.48,135.0,33.0,60.0,58.8,4.5
256,52.5,8.8,3,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,19.0,1.6
257,52.5,8.8,7,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,31.5,2.4
258,52.5,8.8,28,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,45.8,2.6
259,52.5,8.8,56,20.0,5.4,3.11,0.37,0.44,166.0,44.0,185.0,53.0,3.6
260,52.5,8.8,3,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,48.2,3.6
261,52.5,8.8,7,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,56.6,3.8
262,52.5,8.8,28,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,69.1,4.0
263,52.5,8.8,56,20.0,5.4,3.11,0.34,0.34,158.0,42.0,105.0,69.4,4.4
264,52.7,9.0,3,31.5,6.6,2.94,0.42,0.42,185.0,36.0,35.0,23.4,2.03
265,52.7,9.0,28,31.5,6.6,2.94,0.42,0.42,185.0,36.0,35.0,35.6,3.04
266,52.7,9.0,3,31.5,6.6,2.94,0.44,0.44,185.0,36.0,41.0,23.7,1.93
267,52.7,9.0,28,31.5,6.6,2.94,0.44,0.44,185.0,36.0,41.0,32.2,2.74
268,52.7,9.0,3,31.5,6.6,2.94,0.46,0.46,185.0,36.0,42.0,22.5,2.09
269,52.7,9.0,28,31.5,6.6,2.94,0.46,0.46,185.0,36.0,42.0,34.2,2.59
270,52.7,9.0,3,31.5,6.6,2.94,0.42,0.42,185.0,32.0,25.0,23.6,1.69
271,52.7,9.0,28,31.5,6.6,2.94,0.42,0.42,185.0,32.0,25.0,35.8,2.43
272,52.7,9.0,3,31.5,6.6,2.94,0.44,0.44,185.0,34.0,33.0,25.2,1.52
273,52.7,9.0,28,31.5,6.6,2.94,0.44,0.44,185.0,34.0,33.0,38.3,2.6
274,52.7,9.0,3,31.5,6.6,2.94,0.46,0.46,185.0,36.0,40.0,23.3,1.8
275,52.7,9.0,28,31.5,6.6,2.94,0.46,0.46,185.0,36.0,40.0,37.2,3.24
276,43.7,7.5,3,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,46.3,3.04
277,43.7,7.5,7,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,58.5,3.53
278,43.7,7.5,28,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,72.7,4.15
279,43.7,7.5,60,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,76.8,4.59
280,43.7,7.5,90,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,80.8,4.82
281,43.7,7.5,120,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,83.8,5.03
282,43.7,7.5,180,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,84.6,5.07
283,43.7,7.5,365,25.0,0.4,2.3,0.3,0.425,153.0,41.0,220.0,87.2,5.14
284,43.7,7.5,3,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,46.2,3.19
285,43.7,7.5,7,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,56.9,3.58
286,43.7,7.5,28,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,74.5,4.36
287,43.7,7.5,60,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,79.3,4.65
288,43.7,7.5,90,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,81.3,4.89
289,43.7,7.5,120,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,82.6,4.99
290,43.7,7.5,180,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,83.5,5.05
291,43.7,7.5,365,25.0,2.3,3.1,0.3,0.428,152.0,38.0,210.0,85.2,5.17
292,43.7,7.5,3,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,48.5,3.24
293,43.7,7.5,7,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,60.4,3.8
294,43.7,7.5,28,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,75.9,4.49
295,43.7,7.5,60,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,82.1,4.78
296,43.7,7.5,90,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,84.2,4.92
297,43.7,7.5,120,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,86.1,5.05
298,43.7,7.5,180,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,88.6,5.18
299,43.7,7.5,365,25.0,,3.1,0.3,0.428,152.0,38.0,215.0,90.7,5.39
300,43.7,7.5,3,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,50.7,3.42
301,43.7,7.5,7,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,61.0,3.9
302,43.7,7.5,28,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,79.5,4.73
303,43.7,7.5,60,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,85.4,5.05
304,43.7,7.5,90,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,87.3,5.18
305,43.7,7.5,120,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,88.5,5.24
306,43.7,7.5,180,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,90.2,5.32
307,43.7,7.5,365,25.0,6.3,3.1,0.3,0.428,152.0,38.0,202.0,92.2,5.48
308,43.7,7.5,3,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,58.7,3.54
309,43.7,7.5,7,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,66.7,3.98
310,43.7,7.5,28,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,78.8,4.61
311,43.7,7.5,60,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,84.1,4.97
312,43.7,7.5,90,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,86.2,5.15
313,43.7,7.5,120,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,86.9,5.19
314,43.7,7.5,180,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,87.1,5.22
315,43.7,7.5,365,25.0,,3.1,0.3,0.3,152.0,38.0,205.0,88.1,5.23
316,43.7,7.5,3,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,44.0,3.16
317,43.7,7.5,7,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,56.1,3.54
318,43.7,7.5,28,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,70.7,4.32
319,43.7,7.5,60,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,78.7,4.76
320,43.7,7.5,90,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,82.5,4.96
321,43.7,7.5,120,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,85.7,5.11
322,43.7,7.5,180,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,88.2,5.25
323,43.7,7.5,365,25.0,,3.1,0.32,0.457,152.0,39.0,208.0,92.0,5.4
324,55.8,10.8,7,,4.2,2.8,0.24,0.3,135.0,34.0,180.0,76.7,6.0
325,55.8,10.8,28,,4.2,2.8,0.24,0.3,135.0,34.0,180.0,93.5,6.7
326,55.8,10.8,7,,9.69,2.74,0.24,0.3,135.0,34.0,180.0,84.4,5.8
327,55.8,10.8,28,,9.69,2.74,0.24,0.3,135.0,34.0,180.0,95.3,6.9
328,55.8,10.8,7,,4.2,2.8,0.24,0.3,135.0,34.0,180.0,78.1,5.5
329,55.8,10.8,28,,4.2,2.8,0.24,0.3,135.0,34.0,180.0,90.2,6.2
330,55.8,10.8,7,,4.2,2.8,0.24,0.3,135.0,34.0,180.0,82.4,5.8
331,55.8,10.8,28,,4.2,2.8,0.24,0.3,135.0,34.0,180.0,90.6,6.4
332,55.8,10.8,7,,9.69,2.74,0.24,0.3,135.0,34.0,180.0,83.1,5.9
333,55.8,10.8,28,,9.69,2.74,0.24,0.3,135.0,34.0,180.0,89.4,6.7
334,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,176.0,41.7,240.0,67.3,4.35
335,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,168.0,38.8,220.0,67.4,4.38
336,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,160.0,36.1,190.0,68.0,4.48
337,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,153.0,33.5,30.0,69.1,4.52
338,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,166.0,35.0,203.0,68.0,4.42
339,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,160.0,36.0,190.0,68.0,4.48
340,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,155.0,37.0,130.0,69.3,4.5
341,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,149.0,38.0,60.0,73.5,4.55
342,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,144.0,39.0,25.0,68.8,4.32
343,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,153.0,33.5,140.0,69.1,4.52
344,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,147.0,34.5,130.0,69.2,4.53
345,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,145.0,35.0,115.0,70.8,4.55
346,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,142.0,35.5,105.0,71.9,4.58
347,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,139.0,36.0,85.0,70.3,4.43
348,55.2,8.9,28,25.0,0.8,2.85,0.45,0.47,173.0,38.0,260.0,46.3,3.25
349,55.2,8.9,28,25.0,0.8,2.85,0.4,0.47,164.0,38.0,240.0,55.0,3.56
350,55.2,8.9,28,25.0,0.8,2.85,0.35,0.47,154.0,38.0,160.0,66.5,3.85
351,55.2,8.9,28,25.0,0.8,2.85,0.33,0.47,149.0,38.0,60.0,73.5,4.55
352,55.2,8.9,28,25.0,0.8,2.85,0.32,0.47,147.0,38.0,40.0,74.3,4.6
353,55.2,8.9,28,25.0,0.8,2.85,0.3,0.47,142.0,38.0,80.0,82.5,4.65
354,55.2,8.9,28,25.0,0.8,2.85,0.25,0.47,128.0,38.0,30.0,70.8,4.28
355,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,120.0,38.0,50.0,78.0,4.35
356,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,142.0,38.0,50.0,82.5,4.65
357,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,163.0,38.0,50.0,76.5,4.25
358,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,184.0,38.0,50.0,76.0,4.19
359,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,206.0,38.0,50.0,74.2,4.14
360,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,248.0,38.0,50.0,74.0,4.13
361,55.2,8.9,28,25.0,0.8,2.85,0.3,0.43,291.0,38.0,50.0,74.0,4.12
362,,,28,20.0,,3.0,0.44,0.51,205.0,39.0,195.0,52.03,3.3
363,,,28,20.0,,3.0,0.39,0.47,205.0,38.0,195.0,60.14,3.7
364,,,28,20.0,,3.0,0.33,0.41,170.0,38.0,225.0,80.37,4.4
365,,,28,20.0,,3.0,0.26,0.4,175.0,37.0,230.0,89.24,4.6
366,52.6,9.4,7,25.0,0.0,3.1,0.55,0.55,180.0,42.0,120.0,24.3,1.28
367,52.6,9.4,28,25.0,0.0,3.1,0.55,0.55,180.0,42.0,120.0,34.6,1.68
368,52.6,9.4,7,25.0,3.0,3.1,0.55,0.55,180.0,42.0,140.0,24.8,1.34
369,52.6,9.4,28,25.0,3.0,3.1,0.55,0.55,180.0,42.0,140.0,34.9,1.8
370,52.6,9.4,7,25.0,5.0,3.1,0.55,0.55,180.0,42.0,150.0,25.9,1.34
371,52.6,9.4,28,25.0,5.0,3.1,0.55,0.55,180.0,42.0,150.0,35.9,1.82
372,52.6,9.4,7,25.0,7.0,3.1,0.55,0.55,180.0,42.0,175.0,25.5,1.48
373,52.6,9.4,28,25.0,7.0,3.1,0.55,0.55,180.0,42.0,175.0,36.4,1.96
374,52.6,9.4,7,25.0,10.0,3.1,0.55,0.55,180.0,42.0,180.0,26.3,1.64
375,52.6,9.4,28,25.0,10.0,3.1,0.55,0.55,180.0,42.0,180.0,37.9,2.15
376,52.6,9.4,7,25.0,15.0,3.1,0.55,0.55,180.0,42.0,190.0,27.4,1.72
377,52.6,9.4,28,25.0,15.0,3.1,0.55,0.55,180.0,42.0,190.0,38.2,2.19
378,52.6,9.4,7,25.0,20.0,3.1,0.55,0.55,180.0,42.0,160.0,25.7,1.81
379,52.6,9.4,28,25.0,20.0,3.1,0.55,0.55,180.0,42.0,160.0,36.5,2.17
380,,,3,20.0,3.0,3.3,0.3,0.38,166.0,48.0,210.0,48.9,3.35
381,,,7,20.0,3.0,3.3,0.3,0.38,166.0,48.0,210.0,64.1,5.36
382,,,28,20.0,3.0,3.3,0.3,0.38,166.0,48.0,210.0,80.2,5.75
383,,,3,20.0,7.0,3.3,0.3,0.38,166.0,48.0,210.0,49.0,3.07
384,,,7,20.0,7.0,3.3,0.3,0.38,166.0,48.0,210.0,66.3,5.65
385,,,28,20.0,7.0,3.3,0.3,0.38,166.0,48.0,210.0,80.1,6.01
386,,,3,20.0,10.0,3.3,0.3,0.38,166.0,48.0,220.0,48.2,2.97
387,,,7,20.0,10.0,3.3,0.3,0.38,166.0,48.0,220.0,61.7,5.33
388,,,28,20.0,10.0,3.3,0.3,0.38,166.0,48.0,220.0,75.3,5.85
389,,,28,,,,0.44,0.44,,30.0,,51.2,3.78
390,,,28,,,,0.44,0.44,,30.0,,54.0,3.96
391,44.5,7.8,28,25.0,4.2,2.6,0.54,0.54,185.0,38.0,40.0,28.8,2.73
392,44.5,7.8,28,25.0,4.2,2.6,0.45,0.45,185.0,38.0,45.0,35.0,3.31
393,44.5,7.8,28,25.0,4.2,2.6,0.4,0.4,190.0,38.0,45.0,39.8,3.72
394,,,28,80.0,18.0,2.8,0.46,0.46,135.0,27.0,,28.9,1.98
395,,,28,80.0,16.8,2.8,0.46,0.46,160.0,32.0,,33.3,2.42
396,,,28,80.0,21.7,2.8,0.46,0.46,160.0,32.0,,30.2,2.26
397,,,28,80.0,21.8,2.8,0.48,0.48,150.0,34.0,,30.0,2.15
398,,,28,80.0,21.8,2.8,0.48,0.48,130.0,28.0,,28.0,1.98
399,,,28,80.0,16.7,2.8,0.48,0.48,130.0,28.0,,25.3,1.89
400,,,28,80.0,18.0,2.8,0.53,0.53,130.0,29.0,,24.9,1.84
401,,,28,80.0,18.2,2.8,0.53,0.53,130.0,29.0,,22.5,1.7
402,,,28,80.0,17.4,2.8,0.53,0.53,130.0,29.0,,26.7,1.84
403,,,28,80.0,17.5,2.8,0.58,0.58,134.0,29.0,,24.4,1.7
404,,,28,80.0,16.8,2.8,0.58,0.58,134.0,29.0,,29.6,2.25
405,,,28,80.0,20.0,2.8,0.58,0.58,134.0,29.0,,21.3,1.7
406,,,28,80.0,18.2,2.8,0.63,0.63,133.0,30.0,,20.0,1.59
407,,,28,80.0,18.2,2.8,0.63,0.63,138.0,30.0,,19.0,1.36
408,,,28,80.0,20.0,2.8,0.63,0.63,133.0,31.0,,18.2,1.42
409,,,28,20.0,12.1,3.1,0.5,0.5,,,72.0,26.5,2.69
410,,,28,20.0,15.0,3.1,0.5,0.5,,,57.0,31.8,2.91
411,,,28,20.0,18.0,3.1,0.5,0.5,,,60.0,30.9,2.83
412,,,28,20.0,21.0,3.1,0.5,0.5,,,58.0,30.8,2.69
413,,,28,,13.8,2.6,0.5,0.5,,,60.0,22.3,2.26
414,,,28,,20.8,2.9,0.5,0.5,,,60.0,28.4,2.42
415,,,28,,25.9,3.3,0.5,0.5,,,58.0,26.5,2.36
416,,,28,40.0,5.0,,0.5,0.5,187.0,,,27.5,2.31
417,,,28,40.0,10.0,,0.5,0.5,188.0,,,28.1,2.42
418,,,28,40.0,15.0,,0.5,0.5,189.0,,,29.2,2.39
419,,,28,40.0,20.0,,0.5,0.5,190.0,,,28.7,2.54
420,,,28,40.0,25.0,,0.5,0.5,191.0,,,29.8,2.36
421,,,28,40.0,5.0,,0.6,0.6,183.0,,,24.2,2.0
422,,,28,40.0,10.0,,0.6,0.6,184.0,,,25.1,2.04
423,,,28,40.0,15.0,,0.6,0.6,185.0,,,26.6,2.31
424,,,28,40.0,20.0,,0.6,0.6,186.0,,,23.5,2.17
425,,,28,40.0,25.0,,0.6,0.6,187.0,,,23.1,1.99
426,,,28,80.0,5.0,,0.5,0.5,150.0,,,29.0,2.5
427,,,28,80.0,10.0,,0.5,0.5,151.0,,,31.2,2.64
428,,,28,80.0,15.0,,0.5,0.5,152.0,,,34.8,2.76
429,,,28,80.0,20.0,,0.5,0.5,153.0,,,33.5,2.57
430,,,28,80.0,25.0,,0.5,0.5,154.0,,,32.9,2.49
431,,,28,80.0,5.0,,0.7,0.7,151.0,,,21.6,1.87
432,,,28,80.0,10.0,,0.7,0.7,151.0,,,23.3,2.09
433,,,28,80.0,15.0,,0.7,0.7,152.0,,,26.3,2.09
434,,,28,80.0,20.0,,0.7,0.7,152.0,,,23.5,1.74
435,,,28,80.0,25.0,,0.7,0.7,154.0,,,22.5,1.7
436,44.8,7.9,7,31.5,5.0,2.6,0.5,0.5,180.0,42.0,200.0,25.9,1.38
437,44.8,7.9,28,31.5,5.0,2.6,0.5,0.5,180.0,42.0,200.0,35.9,1.82
438,44.8,7.9,7,31.5,10.0,2.6,0.5,0.5,180.0,42.0,200.0,25.5,1.64
439,44.8,7.9,28,31.5,10.0,2.6,0.5,0.5,180.0,42.0,200.0,35.9,2.15
440,44.8,7.9,7,31.5,15.0,2.6,0.5,0.5,180.0,42.0,210.0,25.4,1.72
441,44.8,7.9,28,31.5,15.0,2.6,0.5,0.5,180.0,42.0,210.0,35.9,2.19
442,44.8,7.9,7,31.5,20.0,2.6,0.5,0.5,180.0,42.0,220.0,24.7,2.01
443,44.8,7.9,28,31.5,20.0,2.6,0.5,0.5,180.0,42.0,220.0,35.5,2.17
444,47.6,8.5,7,40.0,6.0,3.2,0.55,0.55,175.0,42.0,100.0,27.3,1.6
445,47.6,8.5,7,40.0,12.0,3.2,0.55,0.55,175.0,41.0,85.0,30.1,1.7
446,47.6,8.5,7,40.0,18.0,3.2,0.55,0.55,175.0,40.0,75.0,31.7,2.0
447,47.6,8.5,28,40.0,6.0,3.2,0.55,0.55,175.0,42.0,100.0,33.3,2.1
448,47.6,8.5,28,40.0,12.0,3.2,0.55,0.55,175.0,41.0,85.0,36.3,2.4
449,47.6,8.5,28,40.0,18.0,3.2,0.55,0.55,175.0,40.0,75.0,38.0,2.6
450,51.7,9.1,28,25.0,6.0,3.2,0.38,0.38,179.0,35.0,180.0,61.3,4.25
451,51.7,9.1,28,25.0,9.0,3.2,0.38,0.38,179.0,35.0,180.0,62.7,4.34
452,51.7,9.1,28,25.0,12.0,3.2,0.38,0.38,179.0,35.0,180.0,60.8,4.01
453,51.7,9.1,28,25.0,12.0,3.2,0.38,0.38,179.0,35.0,140.0,60.6,4.29
454,51.7,9.1,28,25.0,12.0,3.2,0.38,0.38,179.0,35.0,155.0,62.4,4.17
455,60.8,8.5,28,80.0,,2.67,0.38,0.38,114.0,26.0,,39.8,2.71
456,60.8,8.5,28,80.0,,2.67,0.38,0.38,114.0,26.0,,34.3,2.92
457,47.7,7.9,28,80.0,,2.67,0.62,0.77,120.0,30.0,,17.9,1.22
458,47.7,7.9,28,80.0,,2.67,0.62,0.77,120.0,30.0,,18.6,1.8
459,47.7,7.9,28,80.0,,2.67,0.62,0.77,120.0,30.0,,20.6,1.94
460,47.7,7.9,28,80.0,,2.67,0.62,0.77,120.0,30.0,,18.2,1.8
