Source,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
Lu [13],-,-,28,40,11.2*,-,0.45,0.56,133,42,182,29,2.37
Lu [13],-,-,28,40,13.3*,-,0.45,0.56,136,42,176,30.9,2.41
Lu [13],-,-,28,40,15.5*,-,0.45,0.56,139,42,175,33.7,2.47
Lu [13],-,-,28,40,17.8*,-,0.45,0.56,142,42,179,32.4,2.56
Lu [13],-,-,28,40,20.0*,-,0.45,0.56,144,42,180,31.2,2.52
Lu [13],-,-,28,40,22.1*,-,0.45,0.56,146,42,173,30.9,2.41
Li et al. [14],-,-,7,40,6*,-,0.36,0.48,126,35,50,24.6,1.95
Li et al. [14],-,-,7,40,9*,-,0.36,0.48,128,34,45,25.3,2.25
Li et al. [14],-,-,7,40,12*,-,0.36,0.48,130,34,60,25.0,2.09
Li et al. [14],-,-,7,40,15*,-,0.36,0.48,131,33,55,24.8,1.97
Li et al. [14],-,-,7,40,18*,-,0.36,0.48,135,33,60,26.1,2.29
Li et al. [14],-,-,28,40,6*,-,0.36,0.48,126,35,50,40.1,3.13
Li et al. [14],-,-,28,40,9*,-,0.36,0.48,128,34,45,41.8,2.88
Li et al. [14],-,-,28,40,12*,-,0.36,0.48,130,34,60,41.4,3.03
Li et al. [14],-,-,28,40,15*,-,0.36,0.48,131,33,55,41.3,3.21
Li et al. [14],-,-,28,40,18*,-,0.36,0.48,135,33,60,41.1,3.07
Li et al. [14],-,-,90,40,6*,-,0.36,0.48,126,35,50,55.1,3.82
Li et al. [14],-,-,90,40,9*,-,0.36,0.48,128,34,45,56.1,3.90
Li et al. [14],-,-,90,40,12*,-,0.36,0.48,130,34,60,51.0,3.79
Li et al. [14],-,-,90,40,15*,-,0.36,0.48,131,33,55,51.5,3.77
Li et al. [14],-,-,90,40,18*,-,0.36,0.48,135,33,60,53.2,4.12
Li et al. [14],-,-,180,40,6*,-,0.36,0.48,126,35,50,54.8,3.97
Li et al. [14],-,-,180,40,9*,-,0.36,0.48,128,34,45,61.6,4.45
Li et al. [14],-,-,180,40,12*,-,0.36,0.48,130,34,60,54.6,4.51
Li et al. [14],-,-,180,40,15*,-,0.36,0.48,131,33,55,54.8,4.02
Li et al. [14],-,-,180,40,18*,-,0.36,0.48,135,33,60,58.8,4.5
Chen [15],52.5,8.8,3,20,5.4,3.11,0.37,0.44,166,44,185,19.0,1.6
Chen [15],52.5,8.8,7,20,5.4,3.11,0.37,0.44,166,44,185,31.5,2.4
Chen [15],52.5,8.8,28,20,5.4,3.11,0.37,0.44,166,44,185,45.8,2.6
Chen [15],52.5,8.8,56,20,5.4,3.11,0.37,0.44,166,44,185,53.0,3.6
Chen [15],52.5,8.8,3,20,5.4,3.11,0.34,0.34,158,42,105,48.2,3.6
Chen [15],52.5,8.8,7,20,5.4,3.11,0.34,0.34,158,42,105,56.6,3.8
Chen [15],52.5,8.8,28,20,5.4,3.11,0.34,0.34,158,42,105,69.1,4.0
Chen [15],52.5,8.8,56,20,5.4,3.11,0.34,0.34,158,42,105,69.4,4.4
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.42,0.42,185,36,35,23.4,2.03
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.42,0.42,185,36,35,35.6,3.04
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.44,0.44,185,36,41,23.7,1.93
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.44,0.44,185,36,41,32.2,2.74
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.46,0.46,185,36,42,22.5,2.09
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.46,0.46,185,36,42,34.2,2.59
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.42,0.42,185,32,25,23.6,1.69
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.42,0.42,185,32,25,35.8,2.43
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.44,0.44,185,34,33,25.2,1.52
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.44,0.44,185,34,33,38.3,2.6
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.46,0.46,185,36,40,23.3,1.80
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.46,0.46,185,36,40,37.2,3.24
Lin [17],43.7,7.5,3,25,0.4,2.3,0.3,0.425,153,41,220,46.3,3.04
Lin [17],43.7,7.5,7,25,0.4,2.3,0.3,0.425,153,41,220,58.5,3.53
Lin [17],43.7,7.5,28,25,0.4,2.3,0.3,0.425,153,41,220,72.7,4.15
Lin [17],43.7,7.5,60,25,0.4,2.3,0.3,0.425,153,41,220,76.8,4.59
Lin [17],43.7,7.5,90,25,0.4,2.3,0.3,0.425,153,41,220,80.8,4.82
Lin [17],43.7,7.5,120,25,0.4,2.3,0.3,0.425,153,41,220,83.8,5.03
Lin [17],43.7,7.5,180,25,0.4,2.3,0.3,0.425,153,41,220,84.6,5.07
Lin [17],43.7,7.5,365,25,0.4,2.3,0.3,0.425,153,41,220,87.2,5.14
Lin [17],43.7,7.5,3,25,2.3,3.1,0.3,0.428,152,38,210,46.2,3.19
Lin [17],43.7,7.5,7,25,2.3,3.1,0.3,0.428,152,38,210,56.9,3.58
Lin [17],43.7,7.5,28,25,2.3,3.1,0.3,0.428,152,38,210,74.5,4.36
Lin [17],43.7,7.5,60,25,2.3,3.1,0.3,0.428,152,38,210,79.3,4.65
Lin [17],43.7,7.5,90,25,2.3,3.1,0.3,0.428,152,38,210,81.3,4.89
Lin [17],43.7,7.5,120,25,2.3,3.1,0.3,0.428,152,38,210,82.6,4.99
Lin [17],43.7,7.5,180,25,2.3,3.1,0.3,0.428,152,38,210,83.5,5.05
Lin [17],43.7,7.5,365,25,2.3,3.1,0.3,0.428,152,38,210,85.2,5.17
Lin [17],43.7,7.5,3,25,-,3.1,0.3,0.428,152,38,215,48.5,3.24
Lin [17],43.7,7.5,7,25,-,3.1,0.3,0.428,152,38,215,60.4,3.8
Lin [17],43.7,7.5,28,25,-,3.1,0.3,0.428,152,38,215,75.9,4.49
Lin [17],43.7,7.5,60,25,-,3.1,0.3,0.428,152,38,215,82.1,4.78
Lin [17],43.7,7.5,90,25,-,3.1,0.3,0.428,152,38,215,84.2,4.92
Lin [17],43.7,7.5,120,25,-,3.1,0.3,0.428,152,38,215,86.1,5.05
Lin [17],43.7,7.5,180,25,-,3.1,0.3,0.428,152,38,215,88.6,5.18
Lin [17],43.7,7.5,365,25,-,3.1,0.3,0.428,152,38,215,90.7,5.39
Lin [17],43.7,7.5,3,25,6.3,3.1,0.3,0.428,152,38,202,50.7,3.42
Lin [17],43.7,7.5,7,25,6.3,3.1,0.3,0.428,152,38,202,61,3.9
Lin [17],43.7,7.5,28,25,6.3,3.1,0.3,0.428,152,38,202,79.5,4.73
Lin [17],43.7,7.5,60,25,6.3,3.1,0.3,0.428,152,38,202,85.4,5.05
Lin [17],43.7,7.5,90,25,6.3,3.1,0.3,0.428,152,38,202,87.3,5.18
Lin [17],43.7,7.5,120,25,6.3,3.1,0.3,0.428,152,38,202,88.5,5.24
Lin [17],43.7,7.5,180,25,6.3,3.1,0.3,0.428,152,38,202,90.2,5.32
Lin [17],43.7,7.5,365,25,6.3,3.1,0.3,0.428,152,38,202,92.2,5.48
Lin [17],43.7,7.5,3,25,-,3.1,0.3,0.3,152,38,205,58.7,3.54
Lin [17],43.7,7.5,7,25,-,3.1,0.3,0.3,152,38,205,66.7,3.98
Lin [17],43.7,7.5,28,25,-,3.1,0.3,0.3,152,38,205,78.8,4.61
Lin [17],43.7,7.5,60,25,-,3.1,0.3,0.3,152,38,205,84.1,4.97
Lin [17],43.7,7.5,90,25,-,3.1,0.3,0.3,152,38,205,86.2,5.15
Lin [17],43.7,7.5,120,25,-,3.1,0.3,0.3,152,38,205,86.9,5.19
Lin [17],43.7,7.5,180,25,-,3.1,0.3,0.3,152,38,205,87.1,5.22
Lin [17],43.7,7.5,365,25,-,3.1,0.3,0.3,152,38,205,88.1,5.23
Lin [17],43.7,7.5,3,25,-,3.1,0.32,0.457,152,39,208,44,3.16
Lin [17],43.7,7.5,7,25,-,3.1,0.32,0.457,152,39,208,56.1,3.54
Lin [17],43.7,7.5,28,25,-,3.1,0.32,0.457,152,39,208,70.7,4.32
Lin [17],43.7,7.5,60,25,-,3.1,0.32,0.457,152,39,208,78.7,4.76
Lin [17],43.7,7.5,90,25,-,3.1,0.32,0.457,152,39,208,82.5,4.96
Lin [17],43.7,7.5,120,25,-,3.1,0.32,0.457,152,39,208,85.7,5.11
Lin [17],43.7,7.5,180,25,-,3.1,0.32,0.457,152,39,208,88.2,5.25
Lin [17],43.7,7.5,365,25,-,3.1,0.32,0.457,152,39,208,92,5.40
Wang [18],55.8,10.8,7,-,4.2,2.8,0.24,0.3,135,34,180,76.7,6.0
Wang [18],55.8,10.8,28,-,4.2,2.8,0.24,0.3,135,34,180,93.5,6.7
Wang [18],55.8,10.8,7,-,9.69,2.74,0.24,0.3,135,34,180,84.4,5.8
Wang [18],55.8,10.8,28,-,9.69,2.74,0.24,0.3,135,34,180,95.3,6.9
Wang [18],55.8,10.8,7,-,4.2,2.8,0.24,0.3,135,34,180,78.1,5.5
Wang [18],55.8,10.8,28,-,4.2,2.8,0.24,0.3,135,34,180,90.2,6.2
Wang [18],55.8,10.8,7,-,4.2,2.8,0.24,0.3,135,34,180,82.4,5.8
Wang [18],55.8,10.8,28,-,4.2,2.8,0.24,0.3,135,34,180,90.6,6.4
Wang [18],55.8,10.8,7,-,9.69,2.74,0.24,0.3,135,34,180,83.1,5.9
Wang [18],55.8,10.8,28,-,9.69,2.74,0.24,0.3,135,34,180,89.4,6.7
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,176,41.7,240,67.3,4.35
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,168,38.8,220,67.4,4.38
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,160,36.1,190,68.0,4.48
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,153,33.5,30,69.1,4.52
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,166,35,203,68.0,4.42
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,160,36,190,68.0,4.48
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,155,37,130,69.3,4.50
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,149,38,60,73.5,4.55
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,144,39,25,68.8,4.32
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,153,33.5,140,69.1,4.52
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,147,34.5,130,69.2,4.53
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,145,35,115,70.8,4.55
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,142,35.5,105,71.9,4.58
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,139,36,85,70.3,4.43
Yang [19],55.2,8.9,28,25,0.8,2.85,0.45,0.47,173,38,260,46.3,3.25
Yang [19],55.2,8.9,28,25,0.8,2.85,0.40,0.47,164,38,240,55.0,3.56
Yang [19],55.2,8.9,28,25,0.8,2.85,0.35,0.47,154,38,160,66.5,3.85
Yang [19],55.2,8.9,28,25,0.8,2.85,0.33,0.47,149,38,60,73.5,4.55
Yang [19],55.2,8.9,28,25,0.8,2.85,0.32,0.47,147,38,40,74.3,4.60
Yang [19],55.2,8.9,28,25,0.8,2.85,0.30,0.47,142,38,80,82.5,4.65
Yang [19],55.2,8.9,28,25,0.8,2.85,0.25,0.47,128,38,30,70.8,4.28
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,120,38,50,78,4.35
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,142,38,50,82.5,4.65
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,163,38,50,76.5,4.25
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,184,38,50,76,4.19
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,206,38,50,74.2,4.14
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,248,38,50,74,4.13
Yang [19],55.2,8.9,28,25,0.8,2.85,0.3,0.43,291,38,50,74,4.12
He and Yao [20],,,28,20,-,3.0,0.44,0.51,205,39,195,52.03,3.3
He and Yao [20],,,28,20,-,3.0,0.39,0.47,205,38,195,60.14,3.7
He and Yao [20],,,28,20,-,3.0,0.33,0.41,170,38,225,80.37,4.4
He and Yao [20],,,28,20,-,3.0,0.26,0.40,175,37,230,89.24,4.6
Wang [21],52.6,9.4,7,25,0,3.1,0.55,0.55,180,42,120,24.3,1.28
Wang [21],52.6,9.4,28,25,0,3.1,0.55,0.55,180,42,120,34.6,1.68
Wang [21],52.6,9.4,7,25,3,3.1,0.55,0.55,180,42,140,24.8,1.34
Wang [21],52.6,9.4,28,25,3,3.1,0.55,0.55,180,42,140,34.9,1.80
Wang [21],52.6,9.4,7,25,5,3.1,0.55,0.55,180,42,150,25.9,1.34
Wang [21],52.6,9.4,28,25,5,3.1,0.55,0.55,180,42,150,35.9,1.82
Wang [21],52.6,9.4,7,25,7,3.1,0.55,0.55,180,42,175,25.5,1.48
Wang [21],52.6,9.4,28,25,7,3.1,0.55,0.55,180,42,175,36.4,1.96
Wang [21],52.6,9.4,7,25,10,3.1,0.55,0.55,180,42,180,26.3,1.64
Wang [21],52.6,9.4,28,25,10,3.1,0.55,0.55,180,42,180,37.9,2.15
Wang [21],52.6,9.4,7,25,15,3.1,0.55,0.55,180,42,190,27.4,1.72
Wang [21],52.6,9.4,28,25,15,3.1,0.55,0.55,180,42,190,38.2,2.19
Wang [21],52.6,9.4,7,25,20,3.1,0.55,0.55,180,42,160,25.7,1.81
Wang [21],52.6,9.4,28,25,20,3.1,0.55,0.55,180,42,160,36.5,2.17
Cao and Yang [22],-,-,3,20,3,3.3,0.30,0.38,166,48,210,48.9,3.35
Cao and Yang [22],-,-,7,20,3,3.3,0.30,0.38,166,48,210,64.1,5.36
Cao and Yang [22],-,-,28,20,3,3.3,0.30,0.38,166,48,210,80.2,5.75
Cao and Yang [22],-,-,3,20,7,3.3,0.30,0.38,166,48,210,49.0,3.07
Cao and Yang [22],-,-,7,20,7,3.3,0.30,0.38,166,48,210,66.3,5.65
Cao and Yang [22],-,-,28,20,7,3.3,0.30,0.38,166,48,210,80.1,6.01
Cao and Yang [22],-,-,3,20,10,3.3,0.30,0.38,166,48,220,48.2,2.97
Cao and Yang [22],-,-,7,20,10,3.3,0.30,0.38,166,48,220,61.7,5.33
Cao and Yang [22],-,-,28,20,10,3.3,0.30,0.38,166,48,220,75.3,5.85
Wu et al. [23],-,-,28,-,-,-,0.44,0.44,-,30,-,51.2,3.78
Wu et al. [23],-,-,28,-,-,-,0.44,0.44,-,30,-,54,3.96
Li [24],44.5,7.8,28,25,4.2,2.6,0.54,0.54,185,38,40,28.8,2.73
Li [24],44.5,7.8,28,25,4.2,2.6,0.45,0.45,185,38,45,35,3.31
Li [24],44.5,7.8,28,25,4.2,2.6,0.4,0.4,190,38,45,39.8,3.72
Tan [25],-,-,28,80,18,2.8,0.46,0.46,135,27,-,28.9,1.98
Tan [25],-,-,28,80,16.8,2.8,0.46,0.46,160,32,-,33.3,2.42
Tan [25],-,-,28,80,21.7,2.8,0.46,0.46,160,32,-,30.2,2.26
Tan [25],-,-,28,80,21.8,2.8,0.48,0.48,150,34,-,30,2.15
Tan [25],-,-,28,80,21.8,2.8,0.48,0.48,130,28,-,28,1.98
Tan [25],-,-,28,80,16.7,2.8,0.48,0.48,130,28,-,25.3,1.89
Tan [25],-,-,28,80,18.0,2.8,0.53,0.53,130,29,-,24.9,1.84
Tan [25],-,-,28,80,18.2,2.8,0.53,0.53,130,29,-,22.5,1.7
Tan [25],-,-,28,80,17.4,2.8,0.53,0.53,130,29,-,26.7,1.84
Tan [25],-,-,28,80,17.5,2.8,0.58,0.58,134,29,-,24.4,1.7
Tan [25],-,-,28,80,16.8,2.8,0.58,0.58,134,29,-,29.6,2.25
Tan [25],-,-,28,80,20.0,2.8,0.58,0.58,134,29,-,21.3,1.7
Tan [25],-,-,28,80,18.2,2.8,0.63,0.63,133,30,-,20,1.59
Tan [25],-,-,28,80,18.2,2.8,0.63,0.63,138,30,-,19,1.36
Tan [25],-,-,28,80,20.0,2.8,0.63,0.63,133,31,-,18.2,1.42
Huang and Han [26],-,-,28,20,12.1*,3.1,0.5,0.5,-,-,72,26.5,2.69
Huang and Han [26],-,-,28,20,15.0*,3.1,0.5,0.5,-,-,57,31.8,2.91
Huang and Han [26],-,-,28,20,18.0*,3.1,0.5,0.5,-,-,60,30.9,2.83
Huang and Han [26],-,-,28,20,21.0*,3.1,0.5,0.5,-,-,58,30.8,2.69
Huang and Han [26],-,-,28,-,13.8*,2.6,0.5,0.5,-,-,60,22.3,2.26
Huang and Han [26],-,-,28,-,20.8*,2.9,0.5,0.5,-,-,60,28.4,2.42
Huang and Han [26],-,-,28,-,25.9*,3.3,0.5,0.5,-,-,58,26.5,2.36
Huang and Han [26],-,-,28,40,5*,-,0.5,0.5,187,-,-,27.5,2.31
Huang and Han [26],-,-,28,40,10*,-,0.5,0.5,188,-,-,28.1,2.42
Huang and Han [26],-,-,28,40,15*,-,0.5,0.5,189,-,-,29.2,2.39
Huang and Han [26],-,-,28,40,20*,-,0.5,0.5,190,-,-,28.7,2.54
Huang and Han [26],-,-,28,40,25*,-,0.5,0.5,191,-,-,29.8,2.36
Huang and Han [26],-,-,28,40,5*,-,0.6,0.6,183,-,-,24.2,2
Huang and Han [26],-,-,28,40,10*,-,0.6,0.6,184,-,-,25.1,2.04
Huang and Han [26],-,-,28,40,15*,-,0.6,0.6,185,-,-,26.6,2.31
Huang and Han [26],-,-,28,40,20*,-,0.6,0.6,186,-,-,23.5,2.17
Huang and Han [26],-,-,28,40,25*,-,0.6,0.6,187,-,-,23.1,1.99
Huang and Han [26],-,-,28,80,5*,-,0.5,0.5,150,-,-,29,2.5
Huang and Han [26],-,-,28,80,10*,-,0.5,0.5,151,-,-,31.2,2.64
Huang and Han [26],-,-,28,80,15*,-,0.5,0.5,152,-,-,34.8,2.76
Huang and Han [26],-,-,28,80,20*,-,0.5,0.5,153,-,-,33.5,2.57
Huang and Han [26],-,-,28,80,25*,-,0.5,0.5,154,-,-,32.9,2.49
Huang and Han [26],-,-,28,80,5*,-,0.7,0.7,151,-,-,21.6,1.87
Huang and Han [26],-,-,28,80,10*,-,0.7,0.7,151,-,-,23.3,2.09
Huang and Han [26],-,-,28,80,15*,-,0.7,0.7,152,-,-,26.3,2.09
Huang and Han [26],-,-,28,80,20*,-,0.7,0.7,152,-,-,23.5,1.74
Huang and Han [26],-,-,28,80,25*,-,0.7,0.7,154,-,-,22.5,1.7
Cai [27],44.8,7.9,7,31.5,5,2.6,0.5,0.5,180,42,200,25.9,1.38
Cai [27],44.8,7.9,28,31.5,5,2.6,0.5,0.5,180,42,200,35.9,1.82
Cai [27],44.8,7.9,7,31.5,10,2.6,0.5,0.5,180,42,200,25.5,1.64
Cai [27],44.8,7.9,28,31.5,10,2.6,0.5,0.5,180,42,200,35.9,2.15
Cai [27],44.8,7.9,7,31.5,15,2.6,0.5,0.5,180,42,210,25.4,1.72
Cai [27],44.8,7.9,28,31.5,15,2.6,0.5,0.5,180,42,210,35.9,2.19
Cai [27],44.8,7.9,7,31.5,20,2.6,0.5,0.5,180,42,220,24.7,2.01
Cai [27],44.8,7.9,28,31.5,20,2.6,0.5,0.5,180,42,220,35.5,2.17
Liu et al. [28],47.6,8.5,7,40,6*,3.2,0.55,0.55,175,42,100,27.3,1.6
Liu et al. [28],47.6,8.5,7,40,12*,3.2,0.55,0.55,175,41,85,30.1,1.7
Liu et al. [28],47.6,8.5,7,40,18*,3.2,0.55,0.55,175,40,75,31.7,2.0
Liu et al. [28],47.6,8.5,28,40,6*,3.2,0.55,0.55,175,42,100,33.3,2.1
Liu et al. [28],47.6,8.5,28,40,12*,3.2,0.55,0.55,175,41,85,36.3,2.4
Liu et al. [28],47.6,8.5,28,40,18*,3.2,0.55,0.55,175,40,75,38.0,2.6
Qin [29],51.7,9.1,28,25,6,3.2,0.38,0.38,179,35,180,61.3,4.25
Qin [29],51.7,9.1,28,25,9,3.2,0.38,0.38,179,35,180,62.7,4.34
Qin [29],51.7,9.1,28,25,12,3.2,0.38,0.38,179,35,180,60.8,4.01
Qin [29],51.7,9.1,28,25,12*,3.2,0.38,0.38,179,35,140,60.6,4.29
Qin [29],51.7,9.1,28,25,12*,3.2,0.38,0.38,179,35,155,62.4,4.17
Wang and Chen [30],60.8,8.5,28,80,-,2.67,0.38,0.38,114,26,-,39.8,2.71
Wang and Chen [30],60.8,8.5,28,80,-,2.67,0.38,0.38,114,26,-,34.3,2.92
Wang and Chen [30],47.7,7.9,28,80,-,2.67,0.62,0.77,120,30,-,17.9,1.22
Wang and Chen [30],47.7,7.9,28,80,-,2.67,0.62,0.77,120,30,-,18.6,1.80
Wang and Chen [30],47.7,7.9,28,80,-,2.67,0.62,0.77,120,30,-,20.6,1.94
Wang and Chen [30],47.7,7.9,28,80,-,2.67,0.62,0.77,120,30,-,18.2,1.80
Wang and Chen [30],47.7,7.9,28,80,-,2.67,0.62,0.77,120,30,-,23.7,1.83
Chen [31],-,-,28,80,12*,2.88,0.50,0.625,110,26,61,32.5,2.88
Chen [31],-,-,28,80,16*,2.73,0.50,0.625,110,26,51,35.8,2.73
Chen [31],-,-,28,80,16*,2.73,0.50,0.625,110,28,52,30.2,2.40
Chen [31],-,-,28,80,21*,2.54,0.40,0.5,110,24,56,39.6,2.74
Chen [31],-,-,28,80,21*,2.54,0.50,0.625,110,26,58,30.7,2.47
Chen [31],-,-,28,80,21*,2.54,0.60,0.75,110,28,53,36.5,2.14
Wang et al. [32],-,-,7,-,0*,-,0.4,0.4,190,30,<10,37.2,2.45
Wang et al. [32],-,-,7,-,10*,-,0.4,0.4,190,30,<10,29.6,2.69
Wang et al. [32],-,-,7,-,20*,-,0.4,0.4,190,30,<10,38.4,2.40
Wang et al. [32],-,-,7,-,30*,-,0.4,0.4,190,30,<10,41.1,2.78
Wang et al. [32],-,-,7,-,40*,-,0.4,0.4,190,30,<10,42.5,3.07
Wang et al. [32],-,-,7,-,0*,-,0.7,0.7,190,34,<10,16.4,1.13
Wang et al. [32],-,-,7,-,10*,-,0.7,0.7,190,34,<10,17.9,1.36
Wang et al. [32],-,-,7,-,20*,-,0.7,0.7,190,34,<10,16.3,1.08
Wang et al. [32],-,-,7,-,30*,-,0.7,0.7,190,34,<10,19.7,1.47
Wang et al. [32],-,-,7,-,40*,-,0.7,0.7,190,34,<10,21.0,1.38
Wang et al. [32],-,-,7,-,0*,-,1.0,1.0,190,42,<10,7.9,0.62
Wang et al. [32],-,-,7,-,10*,-,1.0,1.0,190,42,<10,9.5,0.71
Wang et al. [32],-,-,7,-,20*,-,1.0,1.0,190,42,<10,10.5,0.80
Wang et al. [32],-,-,7,-,30*,-,1.0,1.0,190,42,<10,12.4,0.99
Wang et al. [32],-,-,7,-,40*,-,1.0,1.0,190,42,<10,13.1,1.11
Wang et al. [32],-,-,28,-,0*,-,0.4,0.4,190,30,<10,46.4,2.88
Wang et al. [32],-,-,28,-,10*,-,0.4,0.4,190,30,<10,48.1,3.01
Wang et al. [32],-,-,28,-,20*,-,0.4,0.4,190,30,<10,50.5,3.23
